Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-04-28,217703.28926202666,2919.0771,2889.78,2935.91,2980.5,2853.83,685516
2022-04-29,249960.24650258204,2856.2468,2935.97,2818.3,2947.2,2775.02,753436
2022-04-30,123302.90666922818,2791.1698,2816.75,2728.1,2842.5,2716.4,498807
2022-05-01,122356.32896157577,2781.7885,2728.1,2824.86,2851.4,2715.57,470200
2022-05-02,259943.24646845923,2829.2835,2824.79,2856.21,2885.0,2776.26,610702
2022-05-03,193624.83635275674,2816.2374,2856.3,2780.34,2863.5,2753.66,513860
2022-05-04,235539.7709799324,2875.6336,2780.35,2939.98,2969.86,2770.02,580220
2022-05-05,271065.07792876847,2797.1361,2940.37,2747.19,2955.8,2678.87,609366
2022-05-06,271301.4864903962,2694.4507,2748.66277092,2691.72,2757.78,2630.7,683912
2022-05-07,110554.03442892303,2658.6333,2691.89,2634.62,2705.9,2585.79,471913
2022-05-08,213982.38643232494,2544.3046,2634.57,2519.1,2643.7,2482.0,529885
2022-05-09,658017.140279867,2358.8612,2518.82,2228.46,2532.59296113,2222.22,1138298
2022-05-10,618408.4226718765,2350.0814,2232.1,2340.83,2459.4,2198.24,1158146
2022-05-11,1017913.9800442642,2226.0066,2340.88,2075.93,2456.4,2000.0,1549180
2022-05-12,1124154.3887246847,1924.4558,2089.25098169,1954.39,2196.7,1700.0,1912155
2022-05-13,472097.769872671,2073.333,1954.21,2005.52,2153.07129134,1934.61,1061354
2022-05-14,170777.29955798126,2009.473,2005.69,2057.1,2070.5,1941.57,616489
2022-05-15,145104.00366695473,2082.21,2053.44,2142.7,2167.72,1997.44,576666
2022-05-16,255795.79400397092,2031.4278,2143.9,2020.57,2144.3,1976.22,692287
2022-05-17,218434.0396169205,2063.7402,2020.58,2088.64,2123.3,2005.0,555816
2022-05-18,256180.14909234867,1988.2676,2088.95,1911.98,2109.97752762,1905.24,609507
2022-05-19,287843.28985623666,1975.9049,1912.03,2017.57,2041.1,1900.0,626281
2022-05-20,266745.46426744206,1982.5528,2017.36,1956.57,2065.1,1919.56,612208
2022-05-21,70159.42129872259,1968.2829,1956.57,1972.64,1990.0,1935.0,361567
2022-05-22,106921.44446196621,2013.1185,1972.96,2040.9,2056.6,1963.4,374791
2022-05-23,10.0,2064.0665,2064.37,2063.88,2064.37,2063.88,7
