Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-03-10,34638.40444264489,39617.5851,41968.0,39435.8,42069.0,38545.19,767932
2022-03-11,31043.17316286071,38942.2027,39454.0,38732.05,40251.51,38230.0,754960
2022-03-12,9968.530953426265,39093.2113,38739.0,38813.02,39499.8,38653.89,368186
2022-03-13,14505.536322197957,38648.8505,38815.0,37793.01,39325.0,37577.0,444307
2022-03-14,26504.505619356943,38802.9071,37779.0,39678.3,40005.03139151,37450.0,659474
2022-03-15,24446.50957370744,39061.7706,39678.51,39298.1,39966.0,38135.0,692033
2022-03-16,43935.46654235331,40364.7629,39323.0,41127.97,41788.0,38807.5,1209698
2022-03-17,20967.022939501643,40921.3101,41139.0,40950.33,41499.0,40521.0,779502
2022-03-18,23537.9326841022,41126.7942,40949.46502595,41774.98,42427.0,40130.0,734169
2022-03-19,12066.03617700676,41909.6606,41772.27591881,42232.26,42429.0,41438.0,502592
2022-03-20,11397.667162496804,41562.5979,42232.05,41287.24,42330.1,40918.72,470212
2022-03-21,15573.36438666877,41055.6313,41287.25,41017.71,41578.33,40509.0,585077
2022-03-22,28248.66578204742,42477.6018,41010.41264944,42378.26,43402.6,40878.0,739917
2022-03-23,18705.62525636486,42304.2107,42376.0,42899.7,43036.95,41750.0,609850
2022-03-24,28208.25879961131,43433.3654,42886.85386804,44012.29,44246.9,42587.0,771571
2022-03-25,27145.334847845872,44382.3483,44000.0,44331.85,45130.91,43604.8,743673
2022-03-26,9783.928552586782,44414.1204,44336.0,44539.42,44820.58,44091.09,457269
2022-03-27,17908.7265820124,45615.9455,44536.21835356,46850.01,46976.1,44437.22,573115
2022-03-28,28590.391377478623,47435.7261,46810.0,47144.92,48240.0,46662.28,870791
2022-03-29,21032.842701307043,47590.9002,47146.92,47440.2,48124.94,46589.0,667923
2022-03-30,18707.507995830798,47190.3662,47448.41,47078.03,47717.01,46446.0,627538
2022-03-31,24432.86771376798,46411.5898,47048.94776884,45528.22,47665.0,45190.19424317,678930
2022-04-01,26254.177505157964,45526.13,45525.25,46296.34,46740.70525005,44232.86,764801
2022-04-02,12074.597447358728,46432.9248,46301.01257854,45826.27,47240.0,45636.0,543779
2022-04-03,13032.800061787966,46485.5565,45820.0,46422.16,47600.0,45505.0,467177
2022-04-04,19159.511828649687,46018.1979,46424.2,46596.83,46900.0,45111.0,573008
2022-04-05,18859.405512611967,46193.7017,46617.1,45506.5,47200.0,45359.0,648524
2022-04-06,10432.757879552888,44269.7503,45498.3,43195.91199284,45534.3,43123.7,115013
2022-04-07,17211.88387038857,43411.3101,43179.5,43452.18,43920.8,42734.69,581896
2022-04-08,18534.7875661596,43129.6724,43469.8,42262.02,44000.0,42112.0,645882
2022-04-09,7350.048868857616,42445.4636,42262.02,42780.0,42824.0,42111.0,422417
2022-04-10,9919.914523455402,42755.0594,42766.46,42165.96,44023.0,41805.4,408335
